ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
100000150,male,single,46,high school,152383,skilled employee,big city
100000151,male,single,42,high school,119926,skilled employee,small city
100000152,male,single,38,high school,108784,skilled employee,big city
100000153,male,single,24,other,153286,skilled employee,mid-sized city
100000154,female,non-single,29,high school,214204,skilled employee,big city
100000155,male,single,36,high school,208101,management/self -employed,big city
100000156,female,non-single,20,high school,95355,skilled employee,mid-sized city
100000157,male,single,48,high school,124156,skilled employee,mid-sized city
100000158,male,non-single,45,university,72215,unemployed,small city
100000159,male,single,38,high school,146529,skilled employee,big city
100000160,male,single,34,high school,75343,unemployed,small city
100000161,male,single,36,high school,129789,skilled employee,mid-sized city
100000162,female,non-single,30,high school,101153,skilled employee,mid-sized city
100000163,male,single,36,high school,127833,skilled employee,big city
100000164,male,single,70,university,224998,management/self -employed,big city
100000165,male,single,36,high school,124445,skilled employee,big city
100000166,male,single,32,other,141116,skilled employee,mid-sized city
100000167,female,non-single,33,high school,104276,skilled employee,big city
100000168,female,non-single,20,high school,147687,skilled employee,big city
100000169,female,non-single,25,high school,125168,skilled employee,mid-sized city
100000170,male,non-single,31,high school,115369,skilled employee,big city
100000171,male,single,33,high school,95445,skilled employee,small city
100000172,female,non-single,26,high school,95159,skilled employee,mid-sized city
100000173,female,non-single,34,high school,153031,management/self -employed,big city
100000174,male,single,33,high school,108899,skilled employee,small city
100000175,male,single,26,other,113515,skilled employee,mid-sized city
100000176,female,non-single,53,university,211229,management/self -employed,small city
100000177,male,non-single,42,university,121307,skilled employee,small city
100000178,male,single,52,high school,131727,skilled employee,big city
100000179,male,single,31,other,133574,management/self -employed,mid-sized city
100000180,male,single,65,university,117334,skilled employee,small city
100000181,male,non-single,28,high school,177291,skilled employee,big city
100000182,male,non-single,30,high school,168763,management/self -employed,mid-sized city
100000183,male,single,40,high school,77720,unemployed,small city
100000184,male,single,50,high school,176645,skilled employee,big city
100000185,male,single,36,high school,106205,skilled employee,mid-sized city
100000186,male,single,31,other,97785,skilled employee,mid-sized city
100000187,female,non-single,74,graduate school,214364,management/self -employed,mid-sized city
100000188,male,single,68,university,74525,unemployed,small city
100000189,male,non-single,20,high school,98988,skilled employee,small city
100000190,female,non-single,33,high school,133561,skilled employee,mid-sized city
100000191,male,single,54,high school,217651,management/self -employed,big city
100000192,male,single,34,high school,116525,unemployed,small city
100000193,male,single,36,high school,135302,skilled employee,big city
100000194,male,non-single,29,high school,106434,skilled employee,mid-sized city
100000195,male,single,21,other,128350,skilled employee,big city
100000196,female,non-single,34,high school,147626,management/self -employed,big city
100000197,female,non-single,28,high school,102697,skilled employee,small city
100000198,female,non-single,27,high school,120262,skilled employee,small city
100000199,male,single,36,high school,124214,skilled employee,big city
100000200,male,non-single,40,high school,175223,management/self -employed,mid-sized city
100000201,male,single,52,high school,137467,skilled employee,small city
100000202,male,non-single,27,high school,65815,unemployed,small city
100000203,male,single,26,other,129864,skilled employee,mid-sized city
100000204,male,non-single,21,high school,88475,skilled employee,mid-sized city
100000205,male,single,38,high school,74666,unemployed,small city
100000206,male,single,38,high school,222294,management/self -employed,big city
100000207,male,single,43,high school,112878,skilled employee,small city
100000208,male,single,26,other,103411,skilled employee,big city
100000209,male,non-single,21,high school,112868,unemployed,small city
100000210,male,single,55,high school,157940,skilled employee,big city
100000211,male,single,33,high school,115835,skilled employee,big city
100000212,female,non-single,45,university,109807,unemployed,small city
100000213,male,single,50,high school,150699,skilled employee,mid-sized city
100000214,male,single,66,university,178967,management/self -employed,small city
100000215,male,single,51,high school,132767,skilled employee,small city
100000216,female,non-single,39,university,86152,unemployed,small city
100000217,male,single,31,other,114528,skilled employee,big city
100000218,male,single,23,other,133912,skilled employee,mid-sized city
100000219,male,non-single,24,high school,81210,unemployed,small city
100000220,female,non-single,64,graduate school,131242,skilled employee,small city
100000221,male,non-single,26,high school,68804,unemployed,small city
100000222,female,non-single,23,high school,96961,skilled employee,mid-sized city
100000223,male,single,30,other,90719,skilled employee,big city
100000224,male,single,32,other,114116,skilled employee,mid-sized city
100000225,male,single,30,other,128639,skilled employee,mid-sized city
100000226,male,single,27,other,106623,skilled employee,mid-sized city
100000227,male,single,27,other,236264,skilled employee,mid-sized city
100000228,male,single,53,high school,207783,management/self -employed,mid-sized city
100000229,male,single,22,other,91739,skilled employee,mid-sized city
100000230,male,single,22,other,107780,skilled employee,big city
100000231,male,single,26,other,139157,skilled employee,big city
100000232,male,single,51,high school,121751,unemployed,small city
100000233,male,single,35,high school,121974,skilled employee,small city
100000234,male,non-single,25,high school,70320,unemployed,small city
100000235,male,single,42,high school,78327,unemployed,small city
100000236,male,single,30,other,131433,management/self -employed,small city
100000237,male,single,23,other,167076,unemployed,big city
100000238,male,non-single,61,university,130788,unemployed,small city
100000239,female,non-single,35,high school,107408,skilled employee,mid-sized city
100000240,male,single,39,high school,115323,skilled employee,mid-sized city
100000241,female,non-single,29,high school,99012,skilled employee,small city
100000242,male,single,51,high school,115996,skilled employee,mid-sized city
100000243,male,single,24,other,123353,skilled employee,mid-sized city
100000244,female,non-single,27,high school,100008,skilled employee,small city
100000245,female,non-single,35,high school,125105,unemployed,small city
100000246,male,single,25,other,92020,skilled employee,big city
100000247,male,single,52,high school,108365,skilled employee,big city
100000248,male,single,35,high school,112979,skilled employee,small city
100000249,male,single,26,other,117221,skilled employee,mid-sized city
100000250,female,non-single,22,high school,88800,skilled employee,big city
100000251,female,non-single,39,university,115099,unemployed,small city
100000252,female,non-single,46,university,113399,unemployed,small city
100000253,female,non-single,24,high school,115879,skilled employee,mid-sized city
100000254,male,single,35,high school,141270,skilled employee,big city
100000255,male,single,24,other,107633,skilled employee,mid-sized city
100000256,male,single,27,other,131751,unemployed,small city
100000257,male,single,35,high school,83687,unemployed,small city
100000258,male,non-single,29,high school,106828,skilled employee,big city
100000259,female,non-single,23,high school,135537,skilled employee,mid-sized city
100000260,female,non-single,57,university,107142,unemployed,small city
100000261,male,single,27,other,97446,skilled employee,mid-sized city
100000262,female,non-single,55,university,126357,skilled employee,big city
100000263,male,single,36,high school,169617,management/self -employed,mid-sized city
100000264,female,non-single,57,university,108945,unemployed,small city
100000265,male,single,32,other,67345,unemployed,small city
100000266,male,single,37,high school,106215,skilled employee,small city
100000267,male,single,36,high school,149237,skilled employee,small city
100000268,female,non-single,38,high school,112124,skilled employee,small city
100000269,male,non-single,45,university,215150,management/self -employed,big city
100000270,male,single,25,other,89534,skilled employee,mid-sized city
100000271,male,single,32,other,111082,skilled employee,big city
100000272,female,non-single,37,high school,137069,skilled employee,mid-sized city
100000273,male,single,36,high school,244541,management/self -employed,big city
100000274,male,single,28,other,120712,skilled employee,mid-sized city
100000275,male,non-single,34,high school,175367,unemployed,small city
100000276,male,single,32,other,111418,skilled employee,mid-sized city
100000277,female,non-single,26,high school,110913,skilled employee,small city
100000278,male,non-single,49,university,84267,unemployed,small city
100000279,female,non-single,32,high school,136886,skilled employee,big city
100000280,male,single,29,other,144884,management/self -employed,big city
100000281,male,single,23,other,151180,skilled employee,mid-sized city
100000282,male,single,50,high school,114997,skilled employee,mid-sized city
100000283,male,single,49,high school,100961,unemployed,small city
100000284,male,single,63,university,124849,skilled employee,big city
100000285,male,non-single,37,high school,152308,skilled employee,big city
100000286,female,non-single,35,high school,167945,unemployed,mid-sized city
100000287,male,single,26,other,126706,skilled employee,big city
100000288,male,single,31,other,210017,management/self -employed,big city
100000289,female,non-single,49,university,125665,skilled employee,mid-sized city
100000290,male,non-single,48,university,111184,skilled employee,mid-sized city
100000291,male,non-single,26,high school,94134,skilled employee,small city
100000292,male,non-single,28,high school,214620,management/self -employed,mid-sized city
100000293,female,non-single,44,university,193816,management/self -employed,mid-sized city
100000294,male,single,56,high school,168714,skilled employee,mid-sized city
100000295,male,non-single,46,university,202997,management/self -employed,mid-sized city
100000296,female,non-single,26,high school,192451,skilled employee,big city
100000297,female,non-single,20,high school,127928,skilled employee,big city
100000298,male,single,45,high school,78253,unemployed,small city
100000299,male,single,43,high school,118446,skilled employee,mid-sized city
100000300,male,single,32,other,161379,skilled employee,big city
100000301,female,non-single,54,university,56622,unemployed,small city
100000302,female,non-single,42,university,146117,skilled employee,mid-sized city
100000303,male,single,37,high school,90418,unemployed,small city
100000304,male,single,49,high school,109053,skilled employee,small city
100000305,male,single,44,high school,219319,skilled employee,small city
100000306,male,non-single,33,high school,144701,skilled employee,mid-sized city
100000307,female,non-single,24,high school,102425,unemployed,small city
100000308,male,non-single,33,high school,79867,unemployed,small city
100000309,female,non-single,24,high school,107114,skilled employee,big city
100000310,male,non-single,22,high school,62263,unemployed,small city
100000311,male,single,40,high school,92567,unemployed,small city
100000312,male,single,25,other,146349,skilled employee,small city
100000313,female,non-single,26,high school,141825,skilled employee,mid-sized city
100000314,male,non-single,25,high school,68582,unemployed,small city
100000315,male,single,29,other,85476,unemployed,small city
100000316,male,single,31,other,111091,skilled employee,big city
100000317,male,single,38,high school,67110,unemployed,small city
100000318,female,non-single,48,university,126154,unemployed,small city
100000319,male,single,32,other,92257,skilled employee,big city
100000320,female,non-single,27,high school,93605,unemployed,small city
100000321,male,non-single,28,high school,165190,management/self -employed,small city
100000322,male,non-single,32,high school,107195,skilled employee,small city
100000323,male,single,34,high school,145059,management/self -employed,small city
100000324,male,single,28,other,148363,skilled employee,small city
100000325,female,non-single,36,high school,105681,skilled employee,big city
100000326,male,single,39,high school,93732,unemployed,small city
100000327,male,single,49,high school,154778,skilled employee,big city
100000328,female,non-single,34,high school,149356,skilled employee,big city
100000329,male,single,31,other,145670,skilled employee,mid-sized city
100000330,male,single,28,other,101589,skilled employee,big city
100000331,male,single,75,university,213333,management/self -employed,mid-sized city
100000332,female,non-single,30,high school,122420,skilled employee,small city
100000333,female,non-single,24,high school,209856,management/self -employed,mid-sized city
100000334,female,non-single,24,high school,181003,unemployed,small city
100000335,male,single,23,other,117804,skilled employee,mid-sized city
100000336,male,non-single,44,university,160650,management/self -employed,mid-sized city
100000337,female,non-single,23,high school,84611,unemployed,small city
100000338,female,non-single,24,high school,98479,skilled employee,big city
100000339,male,single,28,other,122359,skilled employee,big city
100000340,male,non-single,31,high school,81394,unemployed,small city
100000341,female,non-single,24,high school,150372,skilled employee,mid-sized city
100000342,female,non-single,26,high school,92385,unemployed,small city
100000343,male,non-single,25,high school,149851,skilled employee,big city
100000344,male,single,33,high school,167939,management/self -employed,mid-sized city
100000345,male,single,37,high school,115426,unemployed,small city
100000346,female,non-single,43,university,85402,unemployed,small city
100000347,male,single,23,other,95815,skilled employee,big city
100000348,female,non-single,23,high school,97518,unemployed,small city
100000349,male,single,34,high school,87355,unemployed,small city
100000350,male,single,32,other,145933,skilled employee,mid-sized city
100000351,female,non-single,23,high school,97307,skilled employee,small city
100000352,female,non-single,29,high school,108434,skilled employee,big city
100000353,male,single,38,high school,151312,management/self -employed,mid-sized city
100000354,male,single,28,other,141847,skilled employee,mid-sized city
100000355,male,single,46,high school,130675,skilled employee,big city
100000356,male,single,23,other,69309,unemployed,small city
100000357,male,single,49,high school,121466,skilled employee,big city
100000358,male,single,26,other,153586,management/self -employed,big city
100000359,male,non-single,28,high school,92849,skilled employee,small city
100000360,female,non-single,23,high school,108539,skilled employee,big city
100000361,male,single,61,university,129556,skilled employee,big city
100000362,male,single,37,high school,170146,management/self -employed,small city
100000363,female,non-single,36,high school,135383,skilled employee,mid-sized city
100000364,male,non-single,21,high school,96769,skilled employee,big city
100000365,male,single,25,other,43684,unemployed,small city
100000366,male,single,36,high school,103521,skilled employee,small city
100000367,male,single,27,other,118499,skilled employee,mid-sized city
100000368,female,non-single,22,high school,119684,skilled employee,big city
100000369,male,single,42,high school,126586,skilled employee,mid-sized city
100000370,female,non-single,40,university,136812,skilled employee,big city
100000371,male,single,36,high school,118277,skilled employee,mid-sized city
100000372,male,single,33,high school,144597,skilled employee,mid-sized city
100000373,female,non-single,23,high school,106043,skilled employee,small city
100000374,male,single,63,university,272314,management/self -employed,big city
100000375,female,non-single,60,university,309364,management/self -employed,big city
100000376,female,non-single,37,high school,170386,skilled employee,mid-sized city
100000377,male,non-single,34,high school,112458,skilled employee,small city
100000378,male,single,36,high school,96840,skilled employee,mid-sized city
100000379,male,single,57,university,281923,management/self -employed,mid-sized city
100000380,female,non-single,52,university,95551,unemployed,small city
100000381,male,single,39,high school,112347,skilled employee,big city
100000382,female,non-single,38,high school,260977,management/self -employed,big city
100000383,female,non-single,25,high school,99354,skilled employee,small city
100000384,male,single,26,other,111509,skilled employee,big city
100000385,male,single,26,other,105252,unemployed,small city
100000386,female,non-single,25,high school,108522,skilled employee,small city
100000387,female,non-single,21,high school,94655,skilled employee,mid-sized city
100000388,male,single,40,high school,201699,management/self -employed,mid-sized city
100000389,male,single,27,other,139868,skilled employee,big city
100000390,female,non-single,27,high school,102543,skilled employee,mid-sized city
100000391,male,non-single,30,high school,134467,management/self -employed,big city
100000392,female,non-single,19,high school,111187,unemployed,small city
100000393,male,single,39,high school,152302,management/self -employed,mid-sized city
100000394,female,non-single,31,high school,110610,skilled employee,big city
100000395,male,single,31,other,137827,management/self -employed,big city
100000396,male,single,32,other,220923,skilled employee,big city
100000397,female,non-single,55,university,165717,management/self -employed,big city
100000398,male,non-single,46,university,122299,skilled employee,small city
100000399,male,non-single,46,university,120499,skilled employee,small city
100000400,female,non-single,43,university,126449,unemployed,small city
100000401,male,non-single,39,high school,108315,skilled employee,big city
100000402,male,non-single,28,high school,112515,skilled employee,mid-sized city
100000403,male,single,27,other,164559,skilled employee,mid-sized city
100000404,male,single,27,other,59238,unemployed,small city
100000405,male,single,43,high school,131133,skilled employee,small city
100000406,male,non-single,22,high school,109188,skilled employee,small city
100000407,male,single,43,high school,115393,skilled employee,mid-sized city
100000408,male,non-single,27,high school,94711,skilled employee,big city
100000409,male,non-single,26,high school,171860,management/self -employed,small city
100000410,male,non-single,28,high school,139414,skilled employee,big city
100000411,female,non-single,20,high school,110931,skilled employee,mid-sized city
100000412,male,single,35,high school,187549,management/self -employed,big city
100000413,male,single,42,high school,145508,management/self -employed,small city
100000414,male,single,40,high school,104240,unemployed,small city
100000415,female,non-single,35,high school,108272,skilled employee,mid-sized city
100000416,male,single,35,high school,144004,skilled employee,big city
100000417,male,single,33,high school,81083,unemployed,small city
100000418,female,non-single,23,high school,166763,skilled employee,mid-sized city
100000419,female,non-single,31,high school,175530,management/self -employed,mid-sized city
100000420,female,non-single,33,high school,112422,skilled employee,mid-sized city
100000421,female,non-single,20,high school,154134,skilled employee,big city
100000422,male,single,30,other,112401,skilled employee,mid-sized city
100000423,male,single,47,high school,85690,unemployed,small city
100000424,male,single,34,high school,145896,management/self -employed,big city
100000425,female,non-single,25,high school,122552,skilled employee,big city
100000426,male,non-single,21,high school,115494,skilled employee,big city
100000427,male,single,29,other,109467,skilled employee,small city
100000428,male,single,46,high school,148226,skilled employee,big city
100000429,male,single,20,other,88559,skilled employee,mid-sized city
100000430,female,non-single,55,university,62393,unemployed,small city
100000431,male,single,74,university,122133,unemployed,small city
100000432,male,single,29,other,230883,management/self -employed,big city
100000433,male,single,36,high school,136689,management/self -employed,big city
100000434,male,non-single,33,high school,109145,skilled employee,small city
100000435,male,single,25,other,100449,skilled employee,big city
100000436,male,non-single,25,high school,106253,skilled employee,small city
100000437,male,non-single,23,high school,84747,unemployed,small city
100000438,female,non-single,37,high school,149465,skilled employee,mid-sized city
100000439,male,single,65,university,84435,unemployed,small city
100000440,female,non-single,26,high school,51681,unemployed,small city
100000441,male,single,39,high school,139198,management/self -employed,mid-sized city
100000442,female,non-single,30,high school,106577,skilled employee,mid-sized city
100000443,male,single,29,other,117372,skilled employee,big city
100000444,male,single,41,high school,69609,unemployed,small city
100000445,female,non-single,30,high school,178947,management/self -employed,big city
100000446,female,non-single,41,university,81743,unemployed,small city
100000447,female,non-single,34,high school,111900,skilled employee,mid-sized city
100000448,male,single,35,high school,121650,skilled employee,small city
100000449,female,non-single,55,university,172639,management/self -employed,big city
100000450,male,non-single,61,university,175740,skilled employee,mid-sized city
100000451,male,single,30,other,220050,management/self -employed,big city
100000452,female,non-single,29,high school,95200,skilled employee,mid-sized city
100000453,male,single,34,high school,113609,skilled employee,mid-sized city
100000454,male,single,35,high school,143552,management/self -employed,big city
100000455,male,single,31,other,130973,skilled employee,big city
100000456,female,non-single,29,high school,145946,management/self -employed,big city
100000457,male,single,36,high school,126206,skilled employee,mid-sized city
100000458,male,single,35,high school,120426,skilled employee,small city
100000459,female,non-single,27,high school,91925,skilled employee,big city
100000460,male,single,32,other,129630,skilled employee,big city
100000461,male,single,37,high school,124268,skilled employee,big city
100000462,male,single,36,high school,105240,skilled employee,mid-sized city
100000463,female,non-single,34,high school,162180,management/self -employed,small city
100000464,male,single,38,high school,106552,skilled employee,big city
100000465,male,single,34,high school,105843,skilled employee,big city
100000466,male,single,63,university,138327,skilled employee,mid-sized city
100000467,female,non-single,29,high school,76154,unemployed,small city
100000468,male,single,32,other,155012,skilled employee,mid-sized city
100000469,female,non-single,26,high school,114369,skilled employee,mid-sized city
100000470,male,single,35,high school,102839,unemployed,small city
100000471,male,non-single,22,high school,132796,skilled employee,small city
100000472,female,non-single,23,high school,89742,skilled employee,big city
100000473,male,single,28,other,58615,unemployed,small city
100000474,male,single,36,high school,130603,management/self -employed,big city
100000475,male,non-single,33,high school,110340,skilled employee,small city
100000476,female,non-single,26,high school,117729,skilled employee,big city
100000477,male,single,24,other,130808,skilled employee,small city
100000478,male,single,25,other,147402,skilled employee,big city
100000479,male,single,39,high school,93567,unemployed,small city
100000480,male,single,44,high school,109289,skilled employee,mid-sized city
100000481,female,non-single,23,high school,98742,unemployed,small city
100000482,male,single,26,other,101270,skilled employee,small city
100000483,female,non-single,57,university,187835,skilled employee,mid-sized city
100000484,female,non-single,30,high school,140741,skilled employee,small city
100000485,male,single,44,high school,133265,skilled employee,big city
100000486,male,single,47,high school,148100,management/self -employed,big city
100000487,male,single,52,high school,131021,skilled employee,big city
100000488,female,non-single,62,university,152620,skilled employee,big city
100000489,male,single,35,high school,85033,unemployed,small city
100000490,male,single,26,other,114514,skilled employee,mid-sized city
100000491,male,single,26,other,99307,skilled employee,mid-sized city
100000492,female,non-single,42,university,219451,management/self -employed,big city
100000493,female,non-single,27,high school,114007,skilled employee,small city
100000494,male,single,38,high school,102846,skilled employee,small city
100000495,male,single,39,high school,81483,unemployed,small city
100000496,male,non-single,20,high school,107779,skilled employee,big city
100000497,male,single,29,other,222360,management/self -employed,big city
100000498,male,single,40,high school,107125,skilled employee,small city
100000499,male,non-single,32,high school,80080,unemployed,small city
100000500,male,non-single,28,high school,129600,skilled employee,small city
100000501,female,non-single,27,high school,118613,skilled employee,mid-sized city
100000502,male,single,42,high school,146237,skilled employee,mid-sized city
100000503,male,non-single,49,university,144461,skilled employee,big city
100000504,male,single,38,high school,124487,skilled employee,small city
100000505,female,non-single,24,high school,97826,skilled employee,small city
100000506,male,single,27,other,64105,unemployed,small city
100000507,male,single,36,high school,156374,skilled employee,big city
100000508,male,single,34,high school,205383,management/self -employed,big city
100000509,male,non-single,28,high school,98964,skilled employee,big city
100000510,male,single,45,high school,221842,management/self -employed,big city
100000511,male,single,26,other,88027,skilled employee,big city
100000512,male,single,32,other,160513,management/self -employed,big city
100000513,male,single,26,other,124536,skilled employee,big city
100000514,male,non-single,20,high school,93634,skilled employee,small city
100000515,male,single,54,high school,124725,skilled employee,small city
100000516,female,non-single,37,high school,102456,skilled employee,small city
100000517,male,single,40,high school,74975,unemployed,small city
100000518,female,non-single,23,high school,153861,skilled employee,mid-sized city
100000519,male,single,43,high school,119351,skilled employee,big city
100000520,male,single,36,high school,95438,skilled employee,big city
100000521,male,single,44,high school,147967,skilled employee,big city
